x, y, x_pixel, y_pixel, x_mm, y_mm,x, y,y_fit=A*(1-exp(-k*t^n)),r,r^2,A,k,n,ssr,,,,,,,,,
100,90,1135.111816,995.0508423,101.7069501,87.77513206,100,90,81.20770053,18.79229947,353.1505195,,,,,,,,,,,,,
110,90,1241.542236,997.548645,113.100964,88.06077405,110,90,93.34565815,16.65434185,277.3671023,,,,,,,,,,,,,
120,90,1349.764282,999.4743652,124.614264,88.13251591,120,90,106.0455347,13.95446528,194.7271012,,,,,,,,,,,,,
130,90,1452.127075,1004.798279,135.4973858,88.74123983,130,90,118.3126828,11.68731722,136.5933838,,,,,,,,,,,,,
140,90,1547.317017,1006.328491,145.6450083,88.81760916,140,90,129.8812205,10.11877952,102.389699,,,,,,,,,,,,,
150,90,1641.252686,1005.347656,155.6958693,88.68019239,150,90,141.397202,8.602798003,74.00813348,,,,,,,,,,,,,
160,90,1736.340942,1006.395508,165.862378,88.7566043,160,90,153.1069858,6.893014187,47.51364458,,,,,,,,,,,,,
170,90,1822.636353,1008.689392,175.1803068,89.05004162,170,90,163.7411577,6.258842253,39.17310635,,,,,,,,,,,,,
180,90,1909.224365,1012.674316,184.3985495,89.45128023,180,90,174.3846442,5.615355794,31.53222069,,,,,,,,,,,,,
0,100,120,1102,-5.819379984,99.47802994,0,100,1.812422828,-1.812422828,3.284876506,,,,,,,,,,,,,
10,100,209.7933655,1100.757813,3.669041764,99.34756421,10,100,4.76159085,5.23840915,27.44093042,,,,,,,,,,,,,
20,100,300.6470947,1104.790771,13.27010084,99.74857698,20,100,8.848470241,11.15152976,124.356616,,,,,,,,,,,,,
30,100,394.4688721,1102.755249,23.09256987,99.51089107,30,100,14.09055019,15.90944981,253.1105931,,,,,,,,,,,,,
40,100,486.8375549,1103.487549,32.92346519,99.48592726,40,100,20.15687873,19.84312127,393.7494617,,,,,,,,,,,,,
50,100,585.746521,1107.718506,43.39704776,99.9919315,50,100,27.54511298,22.45488702,504.221951,,,,,,,,,,,,,
60,100,690.4100952,1108.145264,54.41198263,99.96423248,60,100,36.26035418,23.73964582,563.5707836,,,,,,,,,,,,,
70,100,796.078186,1105.765503,65.65089855,99.7227113,70,100,45.88708418,24.11291582,581.4327093,,,,,,,,,,,,,
80,100,906.1182251,1110.358765,77.32445665,100.1199884,80,100,56.68451704,23.31548296,543.6117455,,,,,,,,,,,,,
90,100,1017.216492,1111.575317,89.11748913,100.303938,90,100,68.27381588,21.72618412,472.0270763,,,,,,,,,,,,,
100,100,1132.323486,1107.778564,101.3509899,99.84619598,100,100,80.89516662,19.10483338,364.9946585,,,,,,,,,,,,,
110,100,1241.75061,1111.166626,113.0633309,100.1373315,110,100,93.36979217,16.63020783,276.5638124,,,,,,,,,,,,,
120,100,1347.667114,1107.826172,124.3637172,99.78832638,120,100,105.7965456,14.20345443,201.7381177,,,,,,,,,,,,,
130,100,1451.801147,1107.25293,135.4617102,99.65344504,130,100,118.273306,11.72669399,137.5153518,,,,,,,,,,,,,
140,100,1549.840332,1111.023193,145.9280785,100.0551732,140,100,130.1894884,9.810511562,96.24613711,,,,,,,,,,,,,
150,100,1640.765015,1110.89624,155.6571931,100.0308515,150,100,141.337243,8.662756959,75.04335814,,,,,,,,,,,,,
160,100,1733.560181,1107.236938,165.6106355,99.5774816,160,100,152.7642289,7.235771072,52.35638301,,,,,,,,,,,,,
170,100,1823.571289,1110.45166,175.2491339,99.87470461,170,100,163.8562807,6.143719263,37.74528638,,,,,,,,,,,,,
180,100,1909.749268,1107.339111,184.4694737,99.52996474,180,100,174.4490209,5.550979117,30.81336915,,,,,,,,,,,,,
0,110,119.8720474,1201.727783,-5.8438594,110.1051163,0,110,1.809077963,-1.809077963,3.272763075,,,,,,,,,,,,,
10,110,209.48172,1202.097656,3.538147952,110.08587,10,110,4.749390574,5.250609426,27.56889935,,,,,,,,,,,,,
20,110,298.9616394,1205.758545,13.03284234,110.491814,20,110,8.763427032,11.23657297,126.2605721,,,,,,,,,,,,,
30,110,395.3572693,1207.9104,23.17027649,110.6840275,30,110,14.14477574,15.85522426,251.3881364,,,,,,,,,,,,,
40,110,486.8746033,1210.527222,32.89393484,110.9837251,40,110,20.15947946,19.84052054,393.6462554,,,,,,,,,,,,,
50,110,589.9762573,1213.673462,43.79065244,111.2813717,50,110,27.88014687,22.11985313,489.2879027,,,,,,,,,,,,,
60,110,688.7446289,1216.523071,54.27448524,111.5801556,60,110,36.11500371,23.88499629,570.4930476,,,,,,,,,,,,,
70,110,794.2670898,1215.230713,65.40631447,111.3449193,70,110,45.71566615,24.28433385,589.7288703,,,,,,,,,,,,,
80,110,903.8464355,1221.728271,77.07778027,112.0684055,80,110,56.45437113,23.54562887,554.3966387,,,,,,,,,,,,,
90,110,1019,1221.5,89.29542208,112.0445464,90,110,68.46490327,21.53509673,463.760391,,,,,,,,,,,,,
100,110,1133.63855,1219.214478,101.5278371,111.7002915,100,110,81.04253009,18.95746991,359.3856654,,,,,,,,,,,,,
110,110,1243.123901,1220.83728,113.1332368,111.8911488,110,110,93.52888105,16.47111895,271.2977593,,,,,,,,,,,,,
120,110,1348.55481,1215.51709,124.4334896,111.3345148,120,110,105.9019258,14.09807423,198.7556969,,,,,,,,,,,,,
130,110,1447.544922,1213.432983,134.9976324,110.9927078,130,110,117.7592589,12.24074114,149.8357437,,,,,,,,,,,,,
140,110,1545.611328,1214.89502,145.4634749,111.1858184,140,110,129.6728805,10.32711947,106.6493965,,,,,,,,,,,,,
150,110,1641.499512,1211.57959,155.6203468,110.8444635,150,110,141.4275497,8.572450287,73.48690393,,,,,,,,,,,,,
160,110,1734.926392,1207.702393,165.6800881,110.3958958,160,110,152.9326274,7.067372603,49.94775551,,,,,,,,,,,,,
170,110,1824.461182,1209.578003,175.2111841,110.5909331,170,110,163.9658543,6.034145692,36.41091423,,,,,,,,,,,,,
180,110,1908.232056,1208.467041,184.2159731,110.3584192,180,110,174.2629366,5.737063417,32.91389666,,,,,,,,,,,,,
0,120,123,1298,-5.551264152,120.3051677,0,120,1.891589817,-1.891589817,3.578112037,,,,,,,,,,,,,
10,120,210.5952301,1302.410767,3.723889446,120.7157079,10,120,4.793041895,5.206958105,27.11241271,,,,,,,,,,,,,
20,120,304.8461609,1305.775879,13.64026983,121.1256245,20,120,9.06179662,10.93820338,119.6442932,,,,,,,,,,,,,
30,120,397.8685913,1306.760254,23.46086469,121.2169025,30,120,14.29850837,15.70149163,246.5368393,,,,,,,,,,,,,
40,120,490.4473877,1310.319946,33.1840955,121.5213034,40,120,20.4108908,19.5891092,383.7331991,,,,,,,,,,,,,
50,120,589.373291,1317.681152,43.65553475,122.3573112,50,120,27.83229448,22.16770552,491.4071681,,,,,,,,,,,,,
60,120,693.9675903,1321.991455,54.77387374,122.7670319,60,120,36.57151929,23.42848071,548.8937086,,,,,,,,,,,,,
70,120,800.1134644,1322.401489,66.01084978,122.7506249,70,120,46.26978622,23.73021378,563.1230462,,,,,,,,,,,,,
80,120,905.6037598,1325.471436,77.25859206,123.0541632,80,120,56.63237327,23.36762673,546.045979,,,,,,,,,,,,,
90,120,1020.286438,1326.805054,89.36861329,123.2500864,90,120,68.6028269,21.3971731,457.8390167,,,,,,,,,,,,,
100,120,1128.421021,1326.174072,100.8546764,123.1268293,100,120,80.45825723,19.54174277,381.8797105,,,,,,,,,,,,,
110,120,1240.12561,1324.391235,112.7793623,122.8959964,110,120,93.18161907,16.81838093,282.8579371,,,,,,,,,,,,,
120,120,1345.255981,1324.464844,123.9700726,122.8797673,120,120,105.5104089,14.48959105,209.9482488,,,,,,,,,,,,,
130,120,1443.511353,1320.765991,134.5329467,122.5436406,130,120,117.2723911,12.72760894,161.9920294,,,,,,,,,,,,,
140,120,1544.56189,1317.539063,145.3198433,122.2068689,140,120,129.544714,10.45528597,109.3130048,,,,,,,,,,,,,
150,120,1636.353271,1314.348877,155.0484294,121.7643202,150,120,140.794885,9.205115,84.73414216,,,,,,,,,,,,,
160,120,1729.185913,1308.03186,165.0006103,121.1068696,160,120,152.2250707,7.774929301,60.44952563,,,,,,,,,,,,,
170,120,1818.604126,1307.777344,174.6383199,121.0921329,170,120,163.2446159,6.755384126,45.63521469,,,,,,,,,,,,,
180,120,1905.557617,1302.438599,183.9652171,120.434778,180,120,173.9348772,6.065122817,36.78571479,,,,,,,,,,,,,
0,130,127,1394.5,-5.153339402,130.503979,0,130,1.999349379,-1.999349379,3.997397938,,,,,,,,,,,,,
10,130,217.5382233,1400.589233,4.437123939,131.2373634,10,130,5.068943292,4.931056708,24.31532025,,,,,,,,,,,,,
20,130,305.5188904,1405.466797,13.72016162,131.6527365,20,130,9.096165758,10.90383424,118.8936012,,,,,,,,,,,,,
30,130,401.7017822,1410.338379,23.85599736,132.173971,30,130,14.53443232,15.46556768,239.1837837,,,,,,,,,,,,,
40,130,494.3059387,1415.331909,33.57831908,132.6961152,40,130,20.68375988,19.31624012,373.1171324,,,,,,,,,,,,,
50,130,593.1254883,1417.003784,44.05104156,132.8985746,50,130,28.13057027,21.86942973,478.2719566,,,,,,,,,,,,,
60,130,694.4429321,1424.78418,54.74404698,133.7401897,60,130,36.61316739,23.38683261,546.9439394,,,,,,,,,,,,,
70,130,800.1147461,1425.656006,65.97986611,133.8360688,70,130,46.26990794,23.73009206,563.117269,,,,,,,,,,,,,
80,130,907.8369141,1432.621338,77.43784819,134.5716787,80,130,56.85882263,23.14117737,535.51409,,,,,,,,,,,,,
90,130,1016.641663,1430.273193,89.01728918,134.241019,90,130,68.21225993,21.78774007,474.7056173,,,,,,,,,,,,,
100,130,1125.425781,1432.880493,100.5008386,134.5506174,100,130,80.12331967,19.87668033,395.0824208,,,,,,,,,,,,,
110,130,1235.759277,1430.720581,112.3177107,134.3262066,110,130,92.67640773,17.32359227,300.1068493,,,,,,,,,,,,,
120,130,1337.575562,1427.518188,123.1882525,133.9955812,120,130,104.5998758,15.40012422,237.1638261,,,,,,,,,,,,,
130,130,1442.19519,1422.89209,134.2838964,133.4505802,130,130,117.1135864,12.88641358,166.059655,,,,,,,,,,,,,
140,130,1539.040283,1417.584473,144.6431456,132.9057556,140,130,128.8705752,11.12942476,123.8640956,,,,,,,,,,,,,
150,130,1632.701416,1411.470581,154.6923005,132.1466873,150,130,140.3460335,9.653966461,93.19906843,,,,,,,,,,,,,
160,130,1727.288208,1406.480225,164.7501191,131.6010538,160,130,151.991172,8.008827985,64.14132569,,,,,,,,,,,,,
170,130,1817.112061,1405.489502,174.3873096,131.4838515,170,130,163.0608638,6.939136219,48.15161147,,,,,,,,,,,,,
180,130,1903.512939,1398.3573,183.713729,130.7238845,180,130,173.684031,6.315968957,39.89146386,,,,,,,,,,,,,
0,140,131.5,1490,-4.650095176,140.7017,0,140,2.123562493,-2.123562493,4.509517662,,,,,,,,,,,,,
10,140,218.3177338,1496.721802,4.412901967,141.4398507,10,140,5.100318656,4.899681344,24.00687728,,,,,,,,,,,,,
20,140,309.5341187,1499.488281,14.1179624,141.6466798,20,140,9.30240022,10.69759978,114.438641,,,,,,,,,,,,,
30,140,403.1108704,1508.198608,23.93550213,142.598178,30,140,14.6215436,15.3784564,236.4969212,,,,,,,,,,,,,
40,140,499.0762939,1510.412842,34.08097605,142.8054869,40,140,21.02303719,18.97696281,360.1251174,,,,,,,,,,,,,
50,140,601.0858765,1516.942505,44.86958606,143.5449828,50,140,28.76726191,21.23273809,450.829167,,,,,,,,,,,,,
60,140,698.3752441,1521.481689,55.14001365,143.9659132,60,140,36.95834679,23.04165321,530.9177827,,,,,,,,,,,,,
70,140,805.8466187,1526.175415,66.58638666,144.4932752,70,140,46.81532691,23.18467309,537.5290664,,,,,,,,,,,,,
80,140,910.5,1530.5,77.62045133,144.9147509,80,140,57.12923262,22.87076738,523.0720007,,,,,,,,,,,,,
90,140,1019.001953,1530.018799,89.19833921,144.9097102,90,140,68.46511262,21.53488738,463.7513747,,,,,,,,,,,,,
100,140,1123.801758,1529.825073,100.3630685,144.9048494,100,140,79.94186247,20.05813753,402.3288811,,,,,,,,,,,,,
110,140,1229.356934,1530.651001,111.5389829,145.0067747,110,140,91.93669461,18.06330539,326.2830014,,,,,,,,,,,,,
120,140,1336.120117,1526.663696,122.9413292,144.5744773,120,140,104.4274897,15.57251025,242.5030756,,,,,,,,,,,,,
130,140,1433.578857,1521.952515,133.3956503,144.0352737,130,140,116.0747205,13.9252795,193.9134091,,,,,,,,,,,,,
140,140,1534.967896,1516.659424,144.1805752,143.4953863,140,140,128.3736007,11.62639929,135.1731604,,,,,,,,,,,,,
150,140,1629.404541,1509.085693,154.2289516,142.6343369,150,140,139.9408851,10.05911488,101.1857922,,,,,,,,,,,,,
160,140,1719.671387,1503.547729,163.9645906,142.093827,160,140,151.0524201,8.947579881,80.05918574,,,,,,,,,,,,,
170,140,1809.051636,1501.693359,173.4936789,141.8742573,170,140,162.0680758,7.931924194,62.91542142,,,,,,,,,,,,,
180,140,1898.360352,1495.514893,183.0326957,141.2259011,180,140,173.0517624,6.948237582,48.2780055,,,,,,,,,,,,,
0,150,136.5,1583.5,-4.251761881,150.6860892,0,150,2.26524477,-2.26524477,5.131333866,,,,,,,,,,,,,
10,150,227.8082581,1591.518311,5.44339308,151.5345237,10,150,5.488718641,4.511281359,20.3516595,,,,,,,,,,,,,
20,150,315.6056213,1598.212402,14.72550602,152.1711427,20,150,9.617814224,10.38218578,107.7897815,,,,,,,,,,,,,
30,150,411.6472473,1604.388672,24.86061596,152.8082443,30,150,15.15367475,14.84632525,220.4133733,,,,,,,,,,,,,
40,150,506.4652405,1606.949341,34.79451068,153.1267446,40,150,21.55273497,18.44726503,340.3015871,,,,,,,,,,,,,
50,150,605.8763428,1616.024658,45.37083434,154.0842253,50,150,29.15294843,20.84705157,434.5995592,,,,,,,,,,,,,
60,150,705.3592529,1618.116821,55.8534726,154.2971087,60,150,37.57421283,22.42578717,502.9159302,,,,,,,,,,,,,
70,150,808.8208618,1625.57312,66.87470066,155.1495433,70,150,47.09917627,22.90082373,524.4477277,,,,,,,,,,,,,
80,150,913.5942993,1625.96875,78.0156547,155.1499608,80,150,57.44392361,22.55607639,508.7765823,,,,,,,,,,,,,
90,150,1019.471863,1629.418457,89.16714327,155.4703765,90,150,68.51548433,21.48451567,461.5844134,,,,,,,,,,,,,
100,150,1124.460449,1626.10791,100.3320199,155.1507971,100,150,80.01544767,19.98455233,399.3823318,,,,,,,,,,,,,
110,150,1225.418945,1624.438477,111.082187,154.9376514,110,150,91.48235097,18.51764903,342.9033256,,,,,,,,,,,,,
120,150,1328.288574,1623.567627,122.0555588,154.9379545,120,150,103.5007965,16.49920354,272.2237175,,,,,,,,,,,,,
130,150,1431.689453,1618.718384,133.1484843,154.4038435,130,150,115.8470945,14.15290553,200.3047351,,,,,,,,,,,,,
140,150,1526.139648,1613.433228,143.1851436,153.7622712,140,150,127.2969282,12.70307176,161.3680321,,,,,,,,,,,,,
150,150,1621.403564,1604.919312,153.3388029,152.906123,150,150,138.9579536,11.04204638,121.9267883,,,,,,,,,,,,,
160,150,1716.294434,1598.602539,163.5013387,152.263237,160,150,150.6362486,9.363751367,87.67983966,,,,,,,,,,,,,
170,150,1803.381958,1592.936523,172.8166946,151.6198509,170,150,161.3696364,8.630363634,74.48317646,,,,,,,,,,,,,
180,150,1889.433716,1589.550049,182.0317814,151.297312,180,150,171.9559377,8.044062288,64.70693809,,,,,,,,,,,,,
0,160,141.8135986,1673.592163,-3.641772968,160.2447616,0,160,2.41999935,-2.41999935,5.856396852,,,,,,,,,,,,,
10,160,230.7218018,1684.083984,5.736450953,161.3098021,10,160,5.610314976,4.389685024,19.26933461,,,,,,,,,,,,,
20,160,323,1690,15.44036086,161.9507003,20,160,10.00770216,9.992297837,99.84601605,,,,,,,,,,,,,
30,160,415.0300293,1697.241699,25.15265324,162.6985098,30,160,15.3666274,14.6333726,214.1355936,,,,,,,,,,,,,
40,160,509.4199219,1700.622437,35.08588039,163.1279102,40,160,21.76596382,18.23403618,332.4800753,,,,,,,,,,,,,
50,160,610.6560059,1707.366211,45.87429831,163.7709457,50,160,29.5396492,20.4603508,418.6259549,,,,,,,,,,,,,
60,160,710.3215332,1714.693481,56.35499785,164.6274523,60,160,38.01396732,21.98603268,483.3856331,,,,,,,,,,,,,
70,160,811.6276245,1716.360229,67.16596827,164.7391401,70,160,47.36756187,22.63243813,512.2272556,,,,,,,,,,,,,
80,160,912.246521,1718.771118,77.77482347,165.0640281,80,160,57.30678889,22.69321111,514.9818307,,,,,,,,,,,,,
90,160,1018.608704,1720.292603,89.13847219,165.1763103,90,160,68.42296643,21.57703357,465.5683776,,,,,,,,,,,,,
100,160,1119.732788,1719.710571,99.87614875,165.1816834,100,160,79.48767854,20.51232146,420.7553317,,,,,,,,,,,,,
110,160,1222.429077,1721.018799,110.7306192,165.293873,110,160,91.13772661,18.86227339,355.7853576,,,,,,,,,,,,,
120,160,1326.805176,1716.20874,121.9177345,164.7654594,120,160,103.3254395,16.67456049,278.0409675,,,,,,,,,,,,,
130,160,1426.168579,1709.148193,132.4770335,164.0224715,130,160,115.1823413,14.81765872,219.5630098,,,,,,,,,,,,,
140,160,1522.969482,1706.318726,142.831722,163.7063381,140,160,126.9105367,13.08946329,171.3340493,,,,,,,,,,,,,
150,160,1617.127563,1697.405884,152.8778464,162.7479569,150,160,138.4328211,11.5671789,133.7996276,,,,,,,,,,,,,
160,160,1709.487915,1693.891235,162.7172063,162.4307128,160,160,149.7974859,10.20251415,104.091295,,,,,,,,,,,,,
170,160,1796.586914,1687.663818,172.1383325,161.7918317,170,160,160.5324533,9.467546692,89.63444036,,,,,,,,,,,,,
180,160,1883.204224,1678.245361,181.3549042,160.7238766,180,160,171.1908908,8.809109249,77.60040576,,,,,,,,,,,,,
0,170,151.3725281,1765.054443,-2.71600507,169.9091637,0,170,2.709104403,-2.709104403,7.339246666,,,,,,,,,,,,,
10,170,240.4388123,1775.39856,6.662407241,170.9783143,10,170,6.023778917,3.976221083,15.8103341,,,,,,,,,,,,,
20,170,331.027771,1779.884033,16.26123283,171.5171376,20,170,10.43807393,9.561926072,91.43043021,,,,,,,,,,,,,
30,170,420.6492004,1785.587646,25.76263101,172.1626795,30,170,15.72295757,14.27704243,203.8339404,,,,,,,,,,,,,
40,170,515.2134399,1794.914917,35.69440861,173.1282772,40,170,22.18639206,17.81360794,317.3246277,,,,,,,,,,,,,
50,170,614,1800,46.16548434,173.6695255,50,170,29.81130981,20.18869019,407.5832117,,,,,,,,,,,,,
60,170,711.0904541,1805.769409,56.43447976,174.3175774,60,170,38.08226907,21.91773093,480.3869292,,,,,,,,,,,,,
70,170,814,1809,67.35026848,174.6472555,70,170,47.59480317,22.40519683,501.9928448,,,,,,,,,,,,,
80,170,916.6134033,1810.471558,78.27764988,174.764097,80,170,57.75147844,22.24852156,494.9967116,,,,,,,,,,,,,
90,170,1015.972229,1811.144897,88.79104834,174.8806533,90,170,68.14059288,21.85940712,477.8336795,,,,,,,,,,,,,
100,170,1120.567749,1810.703003,99.95311387,174.8912405,100,170,79.58082485,20.41917515,416.9427139,,,,,,,,,,,,,
110,170,1219.323486,1808.855103,110.3820891,174.6876472,110,170,90.7800677,19.2199323,369.4057977,,,,,,,,,,,,,
120,170,1319.192017,1808.458374,121.0339322,174.5908503,120,170,102.4263358,17.57366424,308.8336749,,,,,,,,,,,,,
130,170,1420.586426,1803.248169,131.9109975,174.0667602,130,170,114.5107851,15.48921491,239.9157785,,,,,,,,,,,,,
140,170,1515.544067,1796.437988,142.052315,173.3276789,140,170,126.006,13.994,195.832036,,,,,,,,,,,,,
150,170,1608.197754,1788.597412,151.8825957,172.5876298,150,170,137.3365864,12.66341363,160.3620447,,,,,,,,,,,,,
160,170,1699.202881,1784.829346,161.6138046,172.1678123,160,170,148.530262,11.46973801,131.5548901,,,,,,,,,,,,,
170,170,1790.536987,1776.5177,171.4623638,171.3195108,170,170,159.7869821,10.21301795,104.3057356,,,,,,,,,,,,,
180,170,1875.809204,1771.279663,180.5690805,170.6840618,180,170,170.2823799,9.717620076,94.43213995,,,,,,,,,,,,,
0,180,157.5,1854.5,-2.000501704,179.3605274,0,180,2.901564192,-2.901564192,8.41907476,,,,,,,,,,,,,
10,180,244.3111572,1864.400513,7.061587737,180.4333053,10,180,6.191920496,3.808079504,14.50146951,,,,,,,,,,,,,
20,180,336,1870,16.76543507,181.0826794,20,180,10.70830582,9.291694182,86.33558078,,,,,,,,,,,,,
30,180,429.829071,1875.746338,26.68920425,181.7329002,30,180,16.31199759,13.68800241,187.36141,,,,,,,,,,,,,
40,180,524.6464844,1884.481079,36.72719954,182.5965878,40,180,22.87749546,17.12250454,293.1801616,,,,,,,,,,,,,
50,180,617.9691772,1890.614136,46.56303626,183.354368,50,180,30.13494322,19.86505678,394.6204807,,,,,,,,,,,,,
60,180,715.0390015,1892.251343,56.83319456,183.4746209,60,180,38.43368619,21.56631381,465.1058914,,,,,,,,,,,,,
70,180,817.5889893,1896.075317,67.74841457,183.9154065,70,180,47.93925992,22.06074008,486.6762531,,,,,,,,,,,,,
80,180,917.9103394,1901.211426,78.35586019,184.4627637,80,180,57.88375125,22.11624875,489.1284588,,,,,,,,,,,,,
90,180,1018.555725,1899.39856,89.08208633,184.2644425,90,180,68.41728906,21.58271094,465.8134115,,,,,,,,,,,,,
100,180,1116.361084,1898.5896,99.39293215,184.2786897,100,180,79.11181962,20.88818038,436.3160795,,,,,,,,,,,,,
110,180,1215.637573,1900.058716,110.0326224,184.4001184,110,180,90.35598034,19.64401966,385.8875084,,,,,,,,,,,,,
120,180,1317.969727,1896.726929,120.8972221,184.0948417,120,180,102.2821219,17.71787805,313.9232027,,,,,,,,,,,,,
130,180,1415.356201,1889.044067,131.2411768,183.254372,130,180,113.8821022,16.11789783,259.7866305,,,,,,,,,,,,,
140,180,1510.757935,1886.678711,141.4862331,183.0542562,140,180,125.4233515,14.57664847,212.4786806,,,,,,,,,,,,,
150,180,1600.572876,1880.959717,151.10128,182.4253834,150,180,136.4010302,13.59896985,184.9319809,,,,,,,,,,,,,
160,180,1695.220337,1873.571045,161.1531181,181.6895063,160,180,148.0396442,11.9603558,143.0501108,,,,,,,,,,,,,
170,180,1782.281982,1866.252197,170.4653704,180.8449936,170,180,158.7696847,11.23031528,126.1199813,,,,,,,,,,,,,
180,180,1871.025513,1858.750244,179.9996171,180.1070775,180,180,169.6945027,10.30549726,106.2032737,,,,,,,,,,,,,
