x, y, x_pixel, y_pixel,x_mm,y_mm,,,,,,,,,,,,,
0,0,173.0590057,167.707077,4.066825433,2.611278085,3.698865612,,,,,,,,,,,,
10,0,260,160.5,13.46685265,1.824743151,13.41197717,,,9,8,7,6,5,4,3,2,1,0
20,0,352.6671753,154.6858063,23.58696361,1.192658668,23.84131174,,x,-1.56886E-25,1.43764E-21,-5.60114E-18,1.21003E-14,-1.58555E-11,1.29586E-08,-6.53472E-06,0.001919707,-0.181896763,2.090817372
30,0,443,148,33.31775047,0.468675479,33.42838104,,y,-2.08196E-25,1.91136E-21,-7.46785E-18,1.61952E-14,-2.13239E-11,1.75257E-08,-8.89544E-06,0.002638562,-0.293480449,7.856661846
40,0,537.8268433,143.8278809,43.24940642,0.018516867,43.10742998,,,,,,,,,,,,
50,0,634.4266968,136.650238,53.02573469,-0.752852513,52.83093837,,x_ex,0,0,4.649E+15,2.22489E+13,1112.442709,46.49566843,50.60642497,0,0,#NUM!
60,0,727.3474731,131.8395538,62.14032837,-1.267573268,62.09254884,,,,,,,,,,,,
70,0,824.6954956,132.6850586,71.4714292,-1.177244491,71.60274646,,,,,,,,,,,,
80,0,926.1448975,131.3599701,81.07210087,-1.31878307,81.24013641,,,,,,,,,,,,
90,0,1025.111816,128.7736816,90.41743207,-1.594615956,90.45830945,,,,,,,,,,,,
100,0,1121.150879,130.4573822,99.53379279,-1.415109308,99.4217329,,,,,,,,,,,,
110,0,1220.470947,134.9423523,109.0509603,-0.935802449,108.8994617,,,,,,,,,,,,
120,0,1315.511719,137.5565033,118.2711474,-0.6556785,118.2312405,,,,,,,,,,,,
130,0,1414.549805,143.3193359,128.0440199,-0.03626533,128.1590198,,,,,,,,,,,,
140,0,1505.562256,149.2911682,137.2505785,0.60824564,137.3838956,,,,,,,,,,,,
150,0,1601.280273,156.7382965,147.2792536,1.415535981,147.2547517,,,,,,,,,,,,
160,0,1691.5,165,157.1359668,2.315464565,156.9806035,,,,,,,,,,,,
170,0,1781.983398,172.3109283,167.3355923,3.115371758,167.3454403,,,,,,,,,,,,
180,0,1865.985107,179.8991394,176.6704406,3.948883274,176.8704802,,,,,,,,,,,,
0,10,165.4116669,251.3286438,3.254143275,11.91421047,2.920461818,,,,,,,,,,,,
10,10,253.7127838,247.7069397,12.78070639,11.50670135,12.68931987,,,,,,,,,,,,
20,10,345.7037659,239.2143402,22.82897942,10.55217137,23.07872372,,,,,,,,,,,,
30,10,434.9555664,233.2060242,32.46062778,9.877867005,32.59392238,,,,,,,,,,,,
40,10,529.3338623,230.8061523,42.37343228,9.60879121,42.24836415,,,,,,,,,,,,
50,10,625.2648926,222.4900513,52.11273047,8.677640045,51.91195529,,,,,,,,,,,,
60,10,724.5,220.5,61.86451902,8.455124647,61.81087486,,,,,,,,,,,,
70,10,824.6380615,219.2394562,71.46596842,8.314244044,71.59721151,,,,,,,,,,,,
80,10,921.9754028,217.5832977,80.67855875,8.129228719,80.84895178,,,,,,,,,,,,
90,10,1024.744507,217.1616974,90.38269726,8.082144689,90.42419737,,,,,,,,,,,,
100,10,1124.616821,216.431839,99.86421769,8.000649218,99.74807814,,,,,,,,,,,,
110,10,1223.616577,222.2045593,109.3541883,8.645710413,109.20428,,,,,,,,,,,,
120,10,1321.915283,223.5701447,118.8972683,8.798461336,118.8681123,,,,,,,,,,,,
130,10,1419.582886,231.7072906,128.546632,9.709809592,128.6669829,,,,,,,,,,,,
140,10,1515.036499,235.0117645,138.225433,10.08042797,138.3501185,,,,,,,,,,,,
150,10,1605.081055,241.3374634,147.6863586,10.79065339,147.6538444,,,,,,,,,,,,
160,10,1699.284424,249.5266724,158.0042935,11.7114243,157.8488108,,,,,,,,,,,,
170,10,1786.202637,257.1196289,167.8132848,12.5662864,167.8383669,,,,,,,,,,,,
180,10,1875.715698,266.1031189,177.704728,13.5788465,177.871124,,,,,,,,,,,,
0,20,153.2637787,339.083374,1.970104713,21.81611885,1.735738016,,,,,,,,,,,,
10,20,243.2884369,336.2866821,11.64435108,21.50098509,11.49144141,,,,,,,,,,,,
20,20,337.8198547,328.6697083,21.96987418,20.64221971,22.2107486,,,,,,,,,,,,
30,20,431.6532288,320.8202515,32.1081638,19.75662415,32.25049032,,,,,,,,,,,,
40,20,526.125061,318.1811218,42.04176726,19.45875493,41.9235379,,,,,,,,,,,,
50,20,621.5,312.5,51.73672467,18.81738806,51.53410407,,,,,,,,,,,,
60,20,721.4822998,309.1158447,61.57201445,18.43525211,61.51217898,,,,,,,,,,,,
70,20,818.7992554,307.2806396,70.91067104,18.22800232,71.03403162,,,,,,,,,,,,
80,20,922.5317383,304.7411804,80.73107588,17.94120216,80.90116755,,,,,,,,,,,,
90,20,1024.583618,302.4067993,90.36747933,17.67754793,90.40925571,,,,,,,,,,,,
100,20,1126.023071,307.1125183,99.99831894,18.20901622,99.88056579,,,,,,,,,,,,
110,20,1226.791992,306.528595,109.6604189,18.14307049,109.5122825,,,,,,,,,,,,
120,20,1325,311.5,119.1990952,18.70447455,119.1752117,,,,,,,,,,,,
130,20,1424.373047,315.7806396,129.0255616,19.18777829,129.1506615,,,,,,,,,,,,
140,20,1517.86731,321.841217,138.5174666,19.87184255,138.6391257,,,,,,,,,,,,
150,20,1613.986206,329.8313599,148.6429841,20.7732308,148.5919328,,,,,,,,,,,,
160,20,1704.135132,336.1231079,158.5466397,21.48254997,158.3923648,,,,,,,,,,,,
170,20,1796.879272,344.2232666,169.0203395,22.39501307,169.085151,,,,,,,,,,,,
180,20,1883.83252,354.9226379,178.5548528,23.59877122,178.6736608,,,,,,,,,,,,
0,30,146.7878418,431.8293762,1.289362386,32.17575851,1.134694422,,,,,,,,,,,,
10,30,235.9230042,422.7972412,10.84263574,31.17695045,10.64658448,,,,,,,,,,,,
20,30,329,418,21.00776856,30.64541429,21.23396777,,,,,,,,,,,,
30,30,423.9498596,414.058197,31.28462969,30.20813498,31.44725934,,,,,,,,,,,,
40,30,516.3057861,409.2060242,41.02442866,29.66922947,40.92856431,,,,,,,,,,,,
50,30,617.3994751,403.5742798,51.32664777,29.04288889,51.12243512,,,,,,,,,,,,
60,30,714.3413696,400.3471069,60.87894427,28.68357264,60.80463202,,,,,,,,,,,,
70,30,818.5740356,397.0354919,70.88923952,28.31455705,71.01228864,,,,,,,,,,,,
80,30,918.329895,395.6611938,80.33444752,28.16133111,80.50664076,,,,,,,,,,,,
90,30,1021.367126,391.61026,90.06325862,27.70938654,90.11055168,,,,,,,,,,,,
100,30,1127.410522,395.7107544,100.1306247,28.16685733,100.0113273,,,,,,,,,,,,
110,30,1226.057007,396.1231689,109.5895244,28.21284334,109.4409653,,,,,,,,,,,,
120,30,1329,401.5,119.5907486,28.81196933,119.5737202,,,,,,,,,,,,
130,30,1428.5,407,129.4386951,29.42399247,129.5675519,,,,,,,,,,,,
140,30,1524.254639,414.0435791,139.1774843,30.20651231,139.2917982,,,,,,,,,,,,
150,30,1618.510498,418.2402344,149.1305486,30.67204834,149.070237,,,,,,,,,,,,
160,30,1713.862427,425.6400757,159.6368989,31.49160119,159.4882268,,,,,,,,,,,,
170,30,1800.592773,432.8688354,169.4395163,32.29053767,169.5181912,,,,,,,,,,,,
180,30,1888.786621,442.9126587,179.0673175,33.39776297,179.1469568,,,,,,,,,,,,
0,40,142.9230042,523.4522705,0.884430714,42.1447751,0.787514313,,,,,,,,,,,,
10,40,232.4753723,515.0059204,10.46776068,41.23906511,10.25191765,,,,,,,,,,,,
20,40,321.3786316,508.566864,20.17567692,40.54671776,20.38506877,,,,,,,,,,,,
30,40,416,505,30.43283062,40.16250174,30.61505517,,,,,,,,,,,,
40,40,513.8374634,501.338501,40.76812598,39.767577,40.67820387,,,,,,,,,,,,
50,40,609.3377686,497.2987976,50.51873057,39.33125745,50.31269636,,,,,,,,,,,,
60,40,712.2045898,492.4019165,60.67130792,38.80151417,60.59271933,,,,,,,,,,,,
70,40,815.2689819,486.5129395,70.57470125,38.16323285,70.69304847,,,,,,,,,,,,
80,40,918.803894,487.1505127,80.379197,38.23240093,80.55116444,,,,,,,,,,,,
90,40,1024.094482,484.4496155,90.32121183,37.93928635,90.36383023,,,,,,,,,,,,
100,40,1128.419312,488.8435669,100.226847,38.41599744,100.1064297,,,,,,,,,,,,
110,40,1229.292725,491.7368469,109.9016578,38.72949666,109.7550535,,,,,,,,,,,,
120,40,1333,494.5,119.9827026,39.02859709,119.9725458,,,,,,,,,,,,
130,40,1434.155029,498.0156555,130.0055879,39.40872993,130.1390665,,,,,,,,,,,,
140,40,1530.5,505.5,139.8244469,40.21639023,139.9307806,,,,,,,,,,,,
150,40,1626.934082,511.2859192,150.0410518,40.83927755,149.9640178,,,,,,,,,,,,
160,40,1720.044556,521.385437,160.3315485,41.92340702,160.1886933,,,,,,,,,,,,
170,40,1810.38562,524.5181885,170.5422526,42.25887752,170.6570976,,,,,,,,,,,,
180,40,1896.5,533,179.8546255,43.16519984,179.8556767,,,,,,,,,,,,
0,50,136,616,0.161707077,51.88470544,0.189344205,,,,,,,,,,,,
10,50,226.5643768,612.3800049,9.825687399,51.50996343,9.576916142,,,,,,,,,,,,
20,50,318.1638489,604.9492798,19.82452222,50.7391836,20.02566941,,,,,,,,,,,,
30,50,408.7673035,599.5317383,29.65624239,50.17591176,29.85484731,,,,,,,,,,,,
40,50,506,596,39.95279942,49.80810458,39.88252265,,,,,,,,,,,,
50,50,606.1160889,592.5532837,50.19522884,49.44869226,49.98896206,,,,,,,,,,,,
60,50,707.7284546,585.4130859,60.23597103,48.70266809,60.14852425,,,,,,,,,,,,
70,50,808.760376,582.2460327,69.95487043,48.37113598,70.06346366,,,,,,,,,,,,
80,50,913.4324341,583.0403442,79.87210846,48.45432176,80.04633577,,,,,,,,,,,,
90,50,1019.996338,579.7458496,89.93362281,48.10913801,89.98325609,,,,,,,,,,,,
100,50,1126.519409,583.7791748,100.0456547,48.53167737,99.92733842,,,,,,,,,,,,
110,50,1231.267822,584.2115479,110.0922478,48.57693571,109.9469266,,,,,,,,,,,,
120,50,1337.520264,589.0505981,120.4259998,49.08296819,120.4236156,,,,,,,,,,,,
130,50,1437.5,595.5,130.3413552,49.75599516,130.4772615,,,,,,,,,,,,
140,50,1537.062134,600.3660278,140.50601,50.26272756,140.6031206,,,,,,,,,,,,
150,50,1632.341064,609.043457,150.6273143,51.16412642,150.5400553,,,,,,,,,,,,
160,50,1723.5,613.5,160.72032,51.62595704,160.5815354,,,,,,,,,,,,
170,50,1812.790405,618.317627,170.8124389,52.12436946,170.9358429,,,,,,,,,,,,
180,50,1901.621826,625.40979,180.3696842,52.85652633,180.3053083,,,,,,,,,,,,
0,60,131.5397491,711.5161133,-0.302058746,61.60632088,-0.17850744,,,,,,,,,,,,
10,60,220,707,9.113704337,61.15333633,8.830495483,,,,,,,,,,,,
20,60,312.8147278,704.0003662,19.24004592,60.8521277,19.42595804,,,,,,,,,,,,
30,60,406.8563232,696.7235107,29.45080453,60.1202946,29.65347763,,,,,,,,,,,,
40,60,499.5446777,692.3006592,39.27953696,59.67469231,39.22625157,,,,,,,,,,,,
50,60,598.0370483,690.8228149,49.38237059,59.52566784,49.1767868,,,,,,,,,,,,
60,60,701.5,685,59.62933913,58.93781834,59.52982596,,,,,,,,,,,,
70,60,807.7086182,680.2965698,69.8546463,58.46219149,69.96161315,,,,,,,,,,,,
80,60,914.4737549,680.885376,79.97041653,58.52177306,80.14425062,,,,,,,,,,,,
90,60,1021,679,90.0285311,58.33094928,90.07645898,,,,,,,,,,,,
100,60,1131.598999,682.6278687,100.5301856,58.69802918,100.4063486,,,,,,,,,,,,
110,60,1237.855347,682.7570801,110.7282868,58.71109258,110.5877082,,,,,,,,,,,,
120,60,1341.978882,689.9607544,120.8635942,59.43870345,120.8689071,,,,,,,,,,,,
130,60,1442.966064,691.8164063,130.8906759,59.62587052,131.030137,,,,,,,,,,,,
140,60,1541.963989,700.4387207,141.0163757,60.49413765,141.1060375,,,,,,,,,,,,
150,60,1636.459595,703.5442505,151.0749049,60.80630236,150.9801029,,,,,,,,,,,,
160,60,1729.755615,711.8280029,161.4250757,61.63757652,161.2950714,,,,,,,,,,,,
170,60,1817.932007,716.0614624,171.3889698,62.06163108,171.5301936,,,,,,,,,,,,
180,60,1903.068359,719.4871826,180.514043,62.4043914,180.4290191,,,,,,,,,,,,
0,70,127.5,807.5,-0.720790199,71.10836471,-0.498815849,,,,,,,,,,,,
10,70,214.01651,803.0487061,8.465805868,70.67229321,8.153908411,,,,,,,,,,,,
20,70,306.5,801,18.54981848,70.47145782,18.71532891,,,,,,,,,,,,
30,70,397.9890747,796.0664673,28.4962072,69.98749029,28.71616406,,,,,,,,,,,,
40,70,493.8786011,795.6482544,38.68731561,69.94644409,38.64947314,,,,,,,,,,,,
50,70,593.1905518,788.5302124,48.89363242,69.24726036,48.68934223,,,,,,,,,,,,
60,70,695.322876,788.6075439,59.02668282,69.25486198,58.91555634,,,,,,,,,,,,
70,70,802.5533447,783.5574951,69.36319233,68.75818429,69.46193315,,,,,,,,,,,,
80,70,910.5,781.5,79.59524648,68.55566396,79.77047427,,,,,,,,,,,,
90,70,1019.695618,778.6074829,89.90518224,68.27080512,89.95533057,,,,,,,,,,,,
100,70,1131.5,782.5,100.5207479,68.65410463,100.3970071,,,,,,,,,,,,
110,70,1239,785.5,110.8388452,68.94929492,110.6991805,,,,,,,,,,,,
120,70,1345.414551,788.1473999,121.201017,69.20962843,121.2122797,,,,,,,,,,,,
130,70,1446,794,131.1959746,69.78463616,131.3371314,,,,,,,,,,,,
140,70,1545.759033,797.390564,141.4121965,70.1174272,141.4958284,,,,,,,,,,,,
150,70,1639.5,803.5,151.4058577,70.71651879,151.3056858,,,,,,,,,,,,
160,70,1732.3396,807.1126099,161.7165669,71.07042746,161.590669,,,,,,,,,,,,
170,70,1818.616455,811.5502319,171.4655797,71.50482088,171.6091255,,,,,,,,,,,,
180,70,1906.33667,818.4630127,180.8379589,72.18079348,180.7029307,,,,,,,,,,,,
0,80,125.4440308,906.4205933,-0.933404983,80.71990656,-0.656873301,,,,,,,,,,,,
10,80,210.2844391,904.5390625,8.062261172,80.53819353,7.734124434,,,,,,,,,,,,
20,80,303.9008179,902.3942261,18.26565759,80.33100947,18.42202064,,,,,,,,,,,,
30,80,395.5,898,28.22786392,79.90641573,28.45216381,,,,,,,,,,,,
40,80,493.0118713,897.2930298,38.59661883,79.83808557,38.56117908,,,,,,,,,,,,
50,80,589.4256592,895.2172241,48.51338404,79.63743451,48.31056178,,,,,,,,,,,,
60,80,691.2738647,889.4301758,58.63108607,79.0778037,58.51256577,,,,,,,,,,,,
70,80,796.918335,889.9902954,68.82554683,79.13199231,68.91490036,,,,,,,,,,,,
80,80,906.3023071,884.817749,79.19887595,78.63152222,79.37525627,,,,,,,,,,,,
90,80,1020,885.5,89.93396693,78.69754812,89.98359616,,,,,,,,,,,,
100,80,1131.458862,885.5714722,100.5168094,78.70445913,100.3931254,,,,,,,,,,,,
110,80,1243.664063,888.9202271,111.2895847,79.02847178,111.1537852,,,,,,,,,,,,
120,80,1345.594238,892.0773926,121.2186746,79.33383629,121.2302441,,,,,,,,,,,,
130,80,1447.084106,898.6542969,131.3051199,79.96964846,131.4468498,,,,,,,,,,,,
140,80,1545.330322,899.6312866,141.3674341,80.06406342,141.4517758,,,,,,,,,,,,
150,80,1642.784668,902.8208008,151.7640204,80.37221994,151.6581365,,,,,,,,,,,,
160,80,1732.459961,906.055603,161.7301318,80.68465903,161.6044498,,,,,,,,,,,,
170,80,1824.260498,909.5025024,172.0965631,81.01747646,172.2580541,,,,,,,,,,,,
180,80,1907.861572,912.1210327,180.9882068,81.27024582,180.8279839,,,,,,,,,,,,
0,90,123.5897369,1001.716614,-1.124873106,89.89343006,-0.796438797,,,,,,,,,,,,
10,90,211.3449097,1004.061768,8.176882273,90.11871063,7.853215312,,,,,,,,,,,,
20,90,302.0885315,1001.016663,18.06750924,89.82617914,18.21724005,,,,,,,,,,,,
30,90,393,1001.5,27.95817755,89.8726141,28.18659905,,,,,,,,,,,,
40,90,490.0319214,998.3762817,38.28458403,89.57250999,38.25747234,,,,,,,,,,,,
50,90,589.1624146,1001.45105,48.48677713,89.86790668,48.28407318,,,,,,,,,,,,
60,90,691.1031494,996.7446289,58.61439583,89.41574906,58.49556895,,,,,,,,,,,,
70,90,794.5690918,995.2603149,68.60125717,89.27313788,68.68658008,,,,,,,,,,,,
80,90,906,996,79.1703206,89.34420642,79.34677841,,,,,,,,,,,,
90,90,1019.5,995.5,89.88667999,89.29616875,89.93716514,,,,,,,,,,,,
