x, y, x_pixel, y_pixel,x_mm,y_mm,,,,,,,,,,,,,
100,90,1135.111816,995.0508423,100.8654226,89.25300877,100.7379719,,,,,,,,,,,,
110,90,1241.542236,997.548645,111.0845008,89.49299913,110.9468932,,,,,,,,,,,,
120,90,1349.764282,999.4743652,121.6285941,89.67800875,121.6473036,,,,,,,,,,,,
130,90,1452.127075,1004.798279,131.8133671,90.189461,131.9573769,,,,,,,,,,,,
140,90,1547.317017,1006.328491,141.5748777,90.33646078,141.6559631,,,,,,,,,,,,
150,90,1641.252686,1005.347656,151.5969074,90.24224191,151.4936593,,,,,,,,,,,,
160,90,1736.340942,1006.395508,162.1680876,90.34289317,162.049366,,,,,,,,,,,,
170,90,1822.636353,1008.689392,171.9152253,90.56323317,172.0716949,,,,,,,,,,,,
180,90,1909.224365,1012.674316,181.1219928,90.94599002,180.938216,,,,,,,,,,,,
0,100,120,1102,-1.494738232,99.52528356,-1.058260347,,,,,,,,,,,,
10,100,209.7933655,1100.757813,8.009196038,99.40591257,7.679030595,,,,,,,,,,,,
20,100,300.6470947,1104.790771,17.90989973,99.79347522,18.05420811,,,,,,,,,,,,
30,100,394.4688721,1102.755249,28.1166511,99.59784568,28.34268094,,,,,,,,,,,,
40,100,486.8375549,1103.487549,37.94973577,99.66822689,37.93166737,,,,,,,,,,,,
50,100,585.746521,1107.718506,48.14130241,100.0748459,47.94030703,,,,,,,,,,,,
60,100,690.4100952,1108.145264,58.54663474,100.1158581,58.42656203,,,,,,,,,,,,
70,100,796.078186,1105.765503,68.74534544,99.88715361,68.83326485,,,,,,,,,,,,
80,100,906.1182251,1110.358765,79.18148898,100.3286148,79.35791567,,,,,,,,,,,,
90,100,1017.216492,1111.575317,89.67075807,100.4455435,89.72511623,,,,,,,,,,,,
100,100,1132.323486,1107.778564,100.599309,100.0806284,100.4747185,,,,,,,,,,,,
110,100,1241.75061,1111.166626,111.1046408,100.4062577,110.9672053,,,,,,,,,,,,
120,100,1347.667114,1107.826172,121.4224157,100.0851986,121.4375216,,,,,,,,,,,,
130,100,1451.801147,1107.25293,131.7805016,100.0301016,131.9243741,,,,,,,,,,,,
140,100,1549.840332,1111.023193,141.8385798,100.3924711,141.9154628,,,,,,,,,,,,
150,100,1640.765015,1110.89624,151.5437038,100.3802867,151.4413359,,,,,,,,,,,,
160,100,1733.560181,1107.236938,161.854266,100.0285622,161.730469,,,,,,,,,,,,
170,100,1823.571289,1110.45166,172.0195477,100.3375448,172.1790118,,,,,,,,,,,,
180,100,1909.749268,1107.339111,181.1731768,100.0383786,180.9802824,,,,,,,,,,,,
0,110,119.8720474,1201.727783,-1.507901996,109.1257163,-1.067383379,,,,,,,,,,,,
10,110,209.48172,1202.097656,7.975523715,109.1614108,7.644084895,,,,,,,,,,,,
20,110,298.9616394,1205.758545,17.7256022,109.514702,17.86340475,,,,,,,,,,,,
30,110,395.3572693,1207.9104,28.21247156,109.7223976,28.43701311,,,,,,,,,,,,
40,110,486.8746033,1210.527222,37.95362054,109.9750148,37.93544757,,,,,,,,,,,,
50,110,589.9762573,1213.673462,48.56902434,110.2787919,48.36596324,,,,,,,,,,,,
60,110,688.7446289,1216.523071,58.3837413,110.5539927,58.26070151,,,,,,,,,,,,
70,110,794.2670898,1215.230713,68.572417,110.4291843,68.65721774,,,,,,,,,,,,
80,110,903.8464355,1221.728271,78.96694874,111.0567945,79.14384867,,,,,,,,,,,,
90,110,1019,1221.5,89.83940378,111.0347558,89.89073434,,,,,,,,,,,,
100,110,1133.63855,1219.214478,100.7248086,110.8139577,100.5988535,,,,,,,,,,,,
110,110,1243.123901,1220.83728,111.2373734,110.9707062,111.1011036,,,,,,,,,,,,
120,110,1348.55481,1215.51709,121.5096795,110.4568341,121.5263095,,,,,,,,,,,,
130,110,1447.544922,1213.432983,131.3515317,110.2555829,131.4934906,,,,,,,,,,,,
140,110,1545.611328,1214.89502,141.3967962,110.3967471,141.4806502,,,,,,,,,,,,
150,110,1641.499512,1211.57959,151.6238317,110.0766418,151.5201481,,,,,,,,,,,,
160,110,1734.926392,1207.702393,162.0083738,109.7023338,161.8870767,,,,,,,,,,,,
170,110,1824.461182,1209.578003,172.1188365,109.8833807,172.2810584,,,,,,,,,,,,
180,110,1908.232056,1208.467041,181.0245955,109.7761342,180.8580952,,,,,,,,,,,,
0,120,123,1298,-1.18570886,118.4487218,-0.84021843,,,,,,,,,,,,
10,120,210.5952301,1302.410767,8.095849162,118.8779069,7.769009979,,,,,,,,,,,,
20,120,304.8461609,1305.775879,18.36901208,119.2054782,18.52875255,,,,,,,,,,,,
30,120,397.8685913,1306.760254,28.48322308,119.3013689,28.70339434,,,,,,,,,,,,
40,120,490.4473877,1310.319946,38.32810827,119.6480758,38.29982835,,,,,,,,,,,,
50,120,589.373291,1317.681152,48.50809213,120.3655486,48.30529235,,,,,,,,,,,,
60,120,693.9675903,1321.991455,58.89432055,120.7859942,58.78069715,,,,,,,,,,,,
70,120,800.1134644,1322.401489,69.1304568,120.8259838,69.22518467,,,,,,,,,,,,
80,120,905.6037598,1325.471436,79.13290776,121.1255778,79.30944875,,,,,,,,,,,,
90,120,1020.286438,1326.805054,89.9610578,121.2558019,90.01019549,,,,,,,,,,,,
100,120,1128.421021,1326.174072,100.2270099,121.1942117,100.1065908,,,,,,,,,,,,
110,120,1240.12561,1324.391235,110.9476156,121.0201737,110.8088356,,,,,,,,,,,,
120,120,1345.255981,1324.464844,121.1854635,121.0273552,121.1964272,,,,,,,,,,,,
130,120,1443.511353,1320.765991,130.9455355,120.666394,131.0853066,,,,,,,,,,,,
140,120,1544.56189,1317.539063,141.2872624,120.351691,141.3728273,,,,,,,,,,,,
150,120,1636.353271,1314.348877,151.0633522,120.0406767,150.9687285,,,,,,,,,,,,
160,120,1729.185913,1308.03186,161.3608138,119.4251645,161.2299664,,,,,,,,,,,,
170,120,1818.604126,1307.777344,171.4641955,119.4004041,171.6077042,,,,,,,,,,,,
180,120,1905.557617,1302.438599,180.7609927,118.8806003,180.6383594,,,,,,,,,,,,
0,130,127,1394.5,-0.772527828,127.9024534,-0.537569554,,,,,,,,,,,,
10,130,217.5382233,1400.589233,8.847009795,128.5046403,8.551640659,,,,,,,,,,,,
20,130,305.5188904,1405.466797,18.44255985,128.9876091,18.60466856,,,,,,,,,,,,
30,130,401.7017822,1410.338379,28.8961605,129.4705332,29.109212,,,,,,,,,,,,
40,130,494.3059387,1415.331909,38.73202157,129.9661205,38.69299965,,,,,,,,,,,,
50,130,593.1254883,1417.003784,48.88706505,130.1321798,48.68279718,,,,,,,,,,,,
60,130,694.4429321,1424.78418,58.94075074,130.905914,58.82800001,,,,,,,,,,,,
70,130,800.1147461,1425.656006,69.13058022,130.9927208,69.22530908,,,,,,,,,,,,
80,130,907.8369141,1432.621338,79.34379037,131.6869054,79.5197871,,,,,,,,,,,,
90,130,1016.641663,1430.273193,89.6164059,131.4527256,89.67173739,,,,,,,,,,,,
100,130,1125.425781,1432.880493,99.9413569,131.7127637,99.82428746,,,,,,,,,,,,
110,130,1235.759277,1430.720581,110.5258512,131.4973513,110.3836814,,,,,,,,,,,,
120,130,1337.575562,1427.518188,120.4313962,131.1782029,120.429136,,,,,,,,,,,,
130,130,1442.19519,1422.89209,130.813173,130.7176099,130.9521485,,,,,,,,,,,,
140,130,1539.040283,1417.584473,140.7118654,130.1898441,140.8060001,,,,,,,,,,,,
150,130,1632.701416,1411.470581,150.6664919,129.582835,150.5785127,,,,,,,,,,,,
160,130,1727.288208,1406.480225,161.1469205,129.087983,161.0132748,,,,,,,,,,,,
170,130,1817.112061,1405.489502,171.2972211,128.9898567,171.4355742,,,,,,,,,,,,
180,130,1903.512939,1398.3573,180.5581285,128.283844,180.4667395,,,,,,,,,,,,
0,140,131.5,1490,-0.306184949,137.4609973,-0.181720082,,,,,,,,,,,,
10,140,218.3177338,1496.721802,8.93143806,138.144749,8.639868793,,,,,,,,,,,,
20,140,309.5341187,1499.488281,18.88148912,138.4266069,19.05712666,,,,,,,,,,,,
30,140,403.1108704,1508.198608,29.04785603,139.3160779,29.25815934,,,,,,,,,,,,
40,140,499.0762939,1510.412842,39.23062521,139.5427359,39.17859971,,,,,,,,,,,,
50,140,601.0858765,1516.942505,49.68939565,140.2120267,49.48333866,,,,,,,,,,,,
60,140,698.3752441,1521.481689,59.32460702,140.6783471,59.21917326,,,,,,,,,,,,
70,140,805.8466187,1526.175415,69.67718417,141.1614313,69.78122347,,,,,,,,,,,,
80,140,910.5,1530.5,79.59524648,141.6073793,79.77047427,,,,,,,,,,,,
90,140,1019.001953,1530.018799,89.83958946,141.5577322,89.89091571,,,,,,,,,,,,
100,140,1123.801758,1529.825073,99.78649345,141.5377101,99.67130903,,,,,,,,,,,,
110,140,1229.356934,1530.651001,109.9078521,141.6229747,109.7612894,,,,,,,,,,,,
120,140,1336.120117,1526.663696,120.288643,141.2117518,120.2838559,,,,,,,,,,,,
130,140,1433.578857,1521.952515,129.9477991,140.726795,130.080823,,,,,,,,,,,,
140,140,1534.967896,1516.659424,140.2883074,140.1829569,140.3884395,,,,,,,,,,,,
150,140,1629.404541,1509.085693,150.3087374,139.4068723,150.226978,,,,,,,,,,,,
160,140,1719.671387,1503.547729,160.2895511,138.8407886,160.1463247,,,,,,,,,,,,
170,140,1809.051636,1501.693359,170.3923048,138.6515411,170.5022897,,,,,,,,,,,,
180,140,1898.360352,1495.514893,180.0423779,138.0218491,180.0210314,,,,,,,,,,,,
0,150,136.5,1583.5,0.213788309,147.1409177,0.231466691,,,,,,,,,,,,
10,150,227.8082581,1591.518311,9.960730011,147.9896445,9.718760311,,,,,,,,,,,,
20,150,315.6056213,1598.212402,19.54502189,148.7006631,19.73911895,,,,,,,,,,,,
30,150,411.6472473,1604.388672,29.96564971,149.3585744,30.1579128,,,,,,,,,,,,
40,150,506.4652405,1606.949341,40.00126342,149.631952,39.9297878,,,,,,,,,,,,
50,150,605.8763428,1616.024658,50.17114155,150.6032609,49.96486774,,,,,,,,,,,,
60,150,705.3592529,1618.116821,60.00534071,150.8277817,59.91326372,,,,,,,,,,,,
70,150,808.8208618,1625.57312,69.96062765,151.6296339,70.06932005,,,,,,,,,,,,
80,150,913.5942993,1625.96875,79.88739572,151.6722755,80.0615574,,,,,,,,,,,,
90,150,1019.471863,1629.418457,89.88402231,152.0442812,89.93455227,,,,,,,,,,,,
100,150,1124.460449,1626.10791,99.8493028,151.6872817,99.7333486,,,,,,,,,,,,
110,150,1225.418945,1624.438477,109.5279851,151.5074327,109.3790658,,,,,,,,,,,,
120,150,1328.288574,1623.567627,119.5210884,151.4137016,119.5028195,,,,,,,,,,,,
130,150,1431.689453,1618.718384,129.7583258,150.8923934,129.8898506,,,,,,,,,,,,
140,150,1526.139648,1613.433228,139.3725815,150.3254734,139.4845712,,,,,,,,,,,,
150,150,1621.403564,1604.919312,149.4428633,149.4151724,149.3767191,,,,,,,,,,,,
160,150,1716.294434,1598.602539,159.9100156,148.7421534,159.7634195,,,,,,,,,,,,
170,150,1803.381958,1592.936523,169.7538836,148.1401139,169.843091,,,,,,,,,,,,
180,150,1889.433716,1589.550049,179.1338629,147.7809648,179.2077746,,,,,,,,,,,,
0,160,141.8135986,1673.592163,0.768385364,156.8567694,0.689552735,,,,,,,,,,,,
10,160,230.7218018,1684.083984,10.27719299,158.0122291,10.05143092,,,,,,,,,,,,
20,160,323,1690,20.35274491,158.6655881,20.56603518,,,,,,,,,,,,
30,160,415.0300293,1697.241699,30.3287722,159.4669451,30.51327867,,,,,,,,,,,,
40,160,509.4199219,1700.622437,40.30885454,159.841649,40.22986436,,,,,,,,,,,,
50,160,610.6560059,1707.366211,50.65099406,160.590097,50.44513814,,,,,,,,,,,,
60,160,710.3215332,1714.693481,60.48823045,161.4046288,60.40589741,,,,,,,,,,,,
70,160,811.6276245,1716.360229,70.2279934,161.5901302,70.34096411,,,,,,,,,,,,
80,160,912.246521,1718.771118,79.76014279,161.8585304,79.93479648,,,,,,,,,,,,
90,160,1018.608704,1720.292603,89.80240101,162.0279318,89.85439806,,,,,,,,,,,,
100,160,1119.732788,1719.710571,99.3986382,161.9630975,99.28828677,,,,,,,,,,,,
110,160,1222.429077,1721.018799,109.239711,162.1087571,109.0891742,,,,,,,,,,,,
120,160,1326.805176,1716.20874,119.3758252,161.5731975,119.3550163,,,,,,,,,,,,
130,160,1426.168579,1709.148193,129.2052882,160.7880509,129.3320198,,,,,,,,,,,,
140,160,1522.969482,1706.318726,139.0445434,160.4737259,139.1604123,,,,,,,,,,,,
150,160,1617.127563,1697.405884,148.9814014,159.4851558,148.9239084,,,,,,,,,,,,
160,160,1709.487915,1693.891235,159.1461003,159.0959979,158.9944401,,,,,,,,,,,,
170,160,1796.586914,1687.663818,168.9873915,158.4074422,169.0510394,,,,,,,,,,,,
180,160,1883.204224,1678.245361,178.4894053,157.3686951,178.6127,,,,,,,,,,,,
0,170,151.3725281,1765.054443,1.771016357,167.0203183,1.557827061,,,,,,,,,,,,
10,170,240.4388123,1775.39856,11.33404562,168.1712892,11.16434836,,,,,,,,,,,,
20,170,331.027771,1779.884033,21.22905114,168.6694125,21.45907565,,,,,,,,,,,,
30,170,420.6492004,1785.587646,30.93120787,169.301421,31.10215729,,,,,,,,,,,,
40,170,515.2134399,1794.914917,40.91103184,170.3317105,40.81778133,,,,,,,,,,,,
50,170,614,1800,50.98623935,170.891124,50.78104508,,,,,,,,,,,,
60,170,711.0904541,1805.769409,60.56299702,171.5236711,60.48219171,,,,,,,,,,,,
70,170,814,1809,70.45389785,171.8766652,70.57039289,,,,,,,,,,,,
80,170,916.6134033,1810.471558,80.17241267,172.0371449,80.34536801,,,,,,,,,,,,
90,170,1015.972229,1811.144897,89.55311724,172.1105322,89.60957362,,,,,,,,,,,,
100,170,1120.567749,1810.703003,99.47823232,172.0624909,99.36685338,,,,,,,,,,,,
110,170,1219.323486,1808.855103,108.940385,171.8608759,108.7883435,,,,,,,,,,,,
120,170,1319.192017,1808.458374,118.6309138,171.8174565,118.5971613,,,,,,,,,,,,
130,170,1420.586426,1803.248169,128.6468642,171.2475628,128.7682951,,,,,,,,,,,,
140,170,1515.544067,1796.437988,138.277783,170.4994182,138.401927,,,,,,,,,,,,
150,170,1608.197754,1788.597412,148.0206994,169.6344912,147.9816727,,,,,,,,,,,,
160,170,1699.202881,1784.829346,157.9952259,169.2174937,157.8396901,,,,,,,,,,,,
170,170,1790.536987,1776.5177,168.3036429,168.2956201,168.3447101,,,,,,,,,,,,
180,170,1875.809204,1771.279663,177.71464,167.7134026,177.8805461,,,,,,,,,,,,
0,180,157.5,1854.5,2.416862934,176.7209941,2.140933257,,,,,,,,,,,,
10,180,244.3111572,1864.400513,11.7557561,177.7309439,11.60888781,,,,,,,,,,,,
20,180,336,1870,21.77143872,178.2927994,22.00970067,,,,,,,,,,,,
30,180,429.829071,1875.746338,31.91331862,178.8617142,32.06055588,,,,,,,,,,,,
40,180,524.6464844,1884.481079,41.88880906,179.7100595,41.77381152,,,,,,,,,,,,
50,180,617.9691772,1890.614136,51.38365598,180.2929727,51.17963807,,,,,,,,,,,,
60,180,715.0390015,1892.251343,60.94670945,180.4465446,60.87379985,,,,,,,,,,,,
70,180,817.5889893,1896.075317,70.79550883,180.8021011,70.91717409,,,,,,,,,,,,
80,180,917.9103394,1901.211426,80.29484269,181.2720322,80.46722715,,,,,,,,,,,,
90,180,1018.555725,1899.39856,89.79739204,181.1073055,89.84947842,,,,,,,,,,,,
100,180,1116.361084,1898.5896,99.07736898,181.0332928,98.97117894,,,,,,,,,,,,
110,180,1215.637573,1900.058716,108.5852936,181.1673941,108.431671,,,,,,,,,,,,
120,180,1317.969727,1896.726929,118.5114062,180.8622492,118.4756007,,,,,,,,,,,,
130,180,1415.356201,1889.044067,128.1244913,180.1448651,128.2403882,,,,,,,,,,,,
140,180,1510.757935,1886.678711,137.7847817,179.9202458,137.9135815,,,,,,,,,,,,
150,180,1600.572876,1880.959717,147.2035818,179.3706664,147.1805548,,,,,,,,,,,,
160,180,1695.220337,1873.571045,157.5506514,178.6473358,157.3949088,,,,,,,,,,,,
170,180,1782.281982,1866.252197,167.3694238,177.9174933,167.3803207,,,,,,,,,,,,
180,180,1871.025513,1858.750244,177.2081303,177.1570243,177.3936368,,,,,,,,,,,,
